Annova	Phenotype
SARS2	"高尿酸血症伴肺动脉高压，肾衰竭，碱中毒综合征(613845,AR)"
SASS6	"小头畸形14型(616402,AR)"
SATB2	"Glass 综合征(612313,AD)"
SBDS	"Shwachman-Diamond综合征(260400,AR)"
SBF1	"腓骨肌萎缩症4B3型(615284,AR)"
SBF2	"腓骨肌萎缩症4B2型(604563,AR)"
SC5D	"烯固醇病(607330,AR)"
SCARB2	"进行性肌阵挛癫痫4型(254900,AR)"
SCARF2	"van den Ende-Gupta综合征(600920,AR)"
SCN10A	"家族性发作性疼痛综合征2型(615551,AD)"
SCN11A	"家族性发作性疼痛综合征3型(615552,AD);遗传性感觉和自主神经性神经病7型(615548,AD)"
SCN1A	"全面性癫痫伴热性惊厥附加症2型(604403,AD);早期幼儿癫痫性脑病6型(607208,AD);家族性偏瘫型偏头痛3型(609634,AD)"
SCN1B	"Brugada综合征5型(612838,AD);全面性癫痫伴热性惊厥附加症1型(604233,AD);早期幼儿癫痫性脑病52型(617350,AR)"
SCN2A	"早期幼儿癫痫性脑病11型(613721,AD);良性家族性婴儿惊厥3型(607745,AD)"
SCN3B	"Brugada综合征7型(613120,AD)"
SCN4A	"高钾型周期性麻痹2型(170500,AD);低钾型周期性麻痹2型(613345,AD);先天性肌无力综合征16型(614198,AR);钾加重性肌强直症(608390,AD);先天性副肌强直症(168300,AD)"
SCN5A	"Brugada综合征1型(601144,AD);扩张型心肌病1E型(601154,AD)"
SCN8A	"伴或不伴小脑性共济失调的认知障碍(614306,AD);早期幼儿癫痫性脑病13型(614558,AD);良性家族性婴儿惊厥5型(617080,AD)"
SCN9A	"全面性癫痫伴热性惊厥附加症7型(613863,AD);原发性红斑性肢痛(133020,AD);先天性无痛症(243000,AR);阵发性剧痛症(167400,AD)"
SCO1	"线粒体复合物IV缺陷症(220110,AR,Mi)"
SCO2	"致死性婴幼儿细胞色素c氧化酶缺乏性心脑肌病1型(604377,AR)"
SCYL1	"常染色体隐性遗传性脊髓小脑性共济失调21型(616719,AR)"
SDHA	"扩张型心肌病1GG型(613642,AR);Leigh综合征(256000,AR,Mi);线粒体复合物Ⅱ缺陷症(252011,AR)"
SDHAF1	"线粒体复合物Ⅱ缺陷症(252011,AR)"
SDHAF2	"副神经节瘤2型(601650,AD)"
SDHB	"副神经节瘤4型(115310,AD)"
SDHC	"副神经节瘤3型(605373,AD)"
SDHD	"线粒体复合物Ⅱ缺陷症(252011,AR);副神经节瘤1型(168000,AD)"
SEPN1	"强直性脊柱肌营养不良症1型(602771,AR);纤维类型不相称型先天性肌病(255310,AD,AR)"
SEMA3A	"低促性腺激素性性腺功能减退症16型(614897,AD)"
SEMA3E	"CHARGE联合畸形(214800,AD)"
SEPSECS	"脑桥，小脑发育不良2D型(613811,AR)"
SEPT9	"遗传性神经痛性肌萎缩(162100,AD)"
SERAC1	"3-甲基戊烯二酸尿综合征(614739,AR)"
SERPINC1	"抗凝血酶III缺乏(613118,AD,AR)"
SERPINH1	"成骨不全10型(613848,AR)"
SERPINI1	"家族性神经源性丝氨酸蛋白酶抑制剂包涵体脑病(604218,AD)"
SETBP1	"常染色体显性精神发育迟滞29型(616078,AD);Schinzel-Giedion综合征(269150,AD)"
SETD5	"常染色体显性精神发育迟滞23型(615761,AD)"
SETX	"肌萎缩侧索硬化症4型(602433,AD);常染色体隐性遗传性脊髓小脑性共济失调1型(606002,AR)"
SF3B4	"Nager综合征(154400,AD)"
SFXN4	"氧化磷酸化结合障碍性疾病18型(615578,AR)"
SGCA	"肢带型肌营养不良2D型(608099,AR)"
SGCB	"肢带型肌营养不良2E型(604286,AR)"
SGCD	"扩张型心肌病1L型(606685,AD);肢带型肌营养不良2F型(601287,AR)"
SGCE	"肌张力障碍11型(159900,AD)"
SGCG	"肢带型肌营养不良2C型(253700,AR)"
SGSH	"黏多糖贮积症Ⅲa型(252900,AR)"
SH2B3	"家族性红细胞增多症1型(133100,SMu)"
SH3TC2	"腓骨肌萎缩症4C型(601596,AR);正中神经单神经病（轻型）(613353,AD)"
SHANK3	"Phelan-McDermid综合征(606232,AD)"
SHH	"全前脑3型(142945,AD);孤立性上颌正中中切牙(147250,AD)"
SHOC2	"努南综合征样生长期头发松动症(607721,AD)"
SHOX	"Langer肢中部骨发育不良(249700,AR)"
SHOX	"Langer肢中部骨发育不良(249700,AR)"
SHROOM4	"X连锁智力低下综合征Stocco dos Santos型(300434,XL)"
ST3GAL5	"Amish婴儿期癫痫综合征(609056,AR)"
SIGMAR1	"肌萎缩侧索硬化症16型(614373,AR);遗传性远端脊肌萎缩症2型(605726,AR)"
SIK1	"婴儿早期癫痫性脑病30型(616341,AD)"
SIL1	"马-斯综合征(248800,AR)"
SIN3A	"Witteveen-Kolk综合征(613406,AD)"
SIX3	"全前脑2型(157170,AD,IC)"
SKI	"Shprintzen-Goldberg颉缝早闭综合征(182212,AD)"
SLC12A1	"产前巴特综合征1型(601678,AR)"
SLC12A3	"Gitelman 综合征(263800,AR)"
SLC12A5	"特发性全面性癫痫14型(616685,AD);早期幼儿癫痫性脑病34型(616645,AR)"
SLC12A6	"胼胝体发育不良合并周围神经病(218000,AR)"
SLC13A5	"早期幼儿癫痫性脑病25型(615905,AR)"
SLC16A1	"红细胞乳酸转运体缺陷症(245340,AD);家族性高胰岛素性低血糖症7型(610021,AD)"
SLC16A2	"AHD综合征(300523,XLD)"
SLC17A5	"Salla病（唾液酸贮积症）(604369,AR);婴儿唾液酸贮积病(269920,AR)"
SLC18A3	"先天性肌无力综合征21型(617239,AR)"
SLC19A2	"硫胺反应性巨幼细胞贫血综合征(249270,AR)"
SLC19A3	"硫胺素代谢功能紊乱综合征2型(607483,AR)"
SLC1A2	"早期幼儿癫痫性脑病41型(617105,AD)"
SLC1A3	"发作性共济失调6型(612656,AD)"
SLC1A4	"痉挛性四肢麻痹，薄胼胝体和进行性小头畸型(616657,AR)"
SLC20A2	"特发性基底核钙化1型(213600,AD)"
SLC22A18	"胚胎性横纹肌肉瘤1型(268210,AR)"
SLC22A5	"原发性系统性肉毒碱缺乏症(212140,AR)"
SLC25A1	"联合D, L-2-羟基戊二酸尿症(615182,AR)"
SLC25A12	"早期幼儿癫痫性脑病39型(612949,AR)"
SLC25A13	"瓜氨酸血症成人发病II型(603471,AR)"
SLC25A15	"高鸟氨酸血症-高氨血症-同型瓜氨酸尿症综合征(238970,AR)"
SLC25A19	"小头畸形，阿米什型(607196,AR);硫胺素代谢功能紊乱综合征4型(613710,AR)"
SLC25A20	"肉毒碱-酰基肉毒碱转位酶缺乏症(212138,AR)"
SLC25A22	"早期幼儿癫痫性脑病3型(609304,AR)"
SLC25A26	"氧化磷酸化结合障碍性疾病28型(616794,AR)"
SLC25A4	"线粒体DNA消耗综合征12A型(617184,AD);线粒体DNA消耗综合征12B型(615418,AR);常染色体显性进行性眼外肌麻痹2型(609283,AD)"
SLC25A46	"遗传性运动感觉神经病6B型(616505,AR)"
SLC26A2	"骨发育不全症2型(256050,AR);骨畸形性发育不良(222600,AR)"
SLC26A4	"彭德莱综合征(274600,AR)"
SLC2A1	"肌张力障碍9型(601042,AD);特发性全面性癫痫12型(614847,AD);葡萄糖转运体1缺陷综合征1型(606777,AD,AR);葡萄糖转运体1缺陷综合征2型(612126,AD); Stomatin缺乏型cryohydrocytosis伴神经缺陷症(608885,AD)"
SLC2A10	"动脉迂曲综合征(208050,AR)"
SLC2A2	"Fanconi-Bickel 综合征(227810,AR)"
SLC30A10	"高锰血症伴肌张力障碍1型(613280,AR)"
SLC33A1	"先天性白内障，听力下降和神经退行性变(614482,AR);痉挛性截瘫42型(612539,AD)"
SLC35A1	"先天性糖基化障碍2F型(603585,AR)"
SLC35A2	"先天性糖基化障碍2M型(300896,XLD,SMo)"
SLC35A3	"关节弯曲，智力减退和癫痫发作综合征(615553,AR)"
SLC35C1	"先天性糖基化障碍2C型(266265,AR)"
SLC36A2	"亚氨基甘氨酸尿症(242600,AR,DR)"
SLC37A4	"糖原贮积病1B型(232220,AR);糖原贮积病1C型(232240,AR)"
SLC39A4	"肠源性肢端皮炎综合征(201100,AR)"
SLC39A8	"先天性糖基化障碍2N型(616721,AR)"
SLC46A1	"遗传性叶酸吸收障碍(229050,AR)"
SLC4A4	"近端肾小管酸中毒伴眼部畸形和精神 发育迟滞(604278,AR)"
SLC52A2	"Brown-Vialetto-van Laere综合征2型(614707,AR)"
SLC52A3	"Brown-Vialetto-van Laere综合征1型(211530,AR);法齐奥-隆德病(211500,AR)"
SLC5A7	"先天性肌无力综合征20型(617143,AR);远端型遗传性运动性神经元病7A型(158580,AD)"
SLC6A1	"肌阵挛-失张力性癫痫(616421,AD)"
SLC6A17	"常染色体隐性精神发育迟滞48型(616269,AR)"
SLC6A19	"哈勒普病(234500,AR);亚氨基甘氨酸尿症(242600,AR,DR)"
SLC6A20	"亚氨基甘氨酸尿症(242600,AR,DR)"
SLC6A3	"婴幼儿肌张力障碍型帕金森病(613135,AR)"
SLC6A5	"过度惊骇症3型(614618,AD,AR)"
SLC6A8	"大脑肌酸缺乏综合征1型(300352,XLR)"
SLC6A9	"甘氨酸脑病(617301,AR)"
SLC7A7	"赖氨酸尿性蛋白耐受不良症(222700,AR)"
SLC9A6	"智力低下X连锁克里斯蒂安松型(300243,XLD)"
SMAD4	"幼年性息肉病/遗传性出血性毛细血管扩张症(175050,AD);迈尔综合征(139210,AD)"
SMAD6	"狭颅症7型(617439,AD)"
SMARCA2	"Nicolaides-Baraitser综合征(601358,AD)"
SMARCA4	"Coffin-Siris综合征4型(614609,AD)"
SMARCAL1	"Schimke免疫-骨发育不良(242900,AR)"
SMARCB1	"Coffin-Siris综合征3型(614608,AD);杆状细胞肿瘤易感综合征1型(609322,AD);神经鞘瘤1型(162091,AD)"
SMARCE1	"Coffin-Siris综合征5型(616938,AD);脑膜瘤(607174,AD)"
SMC1A	"科尼亚德兰格综合征2型(300590,XLD)"
SMC3	"科尼亚德兰格综合征3型(610759,AD)"
SMCHD1	"面肩肱型肌营养不良症2型(158901,combination of a heterozygous mutation)"
SMN1	"脊髓性肌萎缩症3型(253400,AR);脊髓肌萎缩症1型(253300,AR);脊髓肌萎缩症2型(253550,AR);脊髓肌萎缩症4型(271150,AR)"
SMN2	"脊髓性肌萎缩症3型(253400,AR)"
SMOC1	"小眼畸形伴肢体异常(206920,AR)"
SMO	"Curry-Jones综合征(601707,Smo)"
SMPD1	"尼曼-皮克病A型(257200,AR);尼曼-皮克病B型(607616,AR)"
SMS	"精神发育迟滞X连锁症状性斯奈德-罗宾森型(309583,XLR)"
SNAP25	"先天性肌无力综合征18型(616330,AD)"
SNAP29	"脑发育不全，神经病变，鱼鳞病和掌跖角化综合征(609528,AR)"
SNCA	"路易体痴呆(127750,AD);遗传性帕金森病1型(168601,AD);遗传性帕金森病4型(605543,AD)"
SNCB	"路易体痴呆(127750,AD)"
SNIP1	"精神发育迟滞，癫痫和颅面畸形综合征(614501,AR)"
SNRPN	"Prader-Willi综合征(176270,IC)"
SNX14	"常染色体隐性遗传性脊髓小脑性共济失调20型(616354,AR)"
SOBP	"精神发育迟滞，上颌骨突出，斜视(613671,AR)"
SOD1	"肌萎缩侧索硬化症1型(105400,AD,AR)"
SOS1	"努南综合征4型(610733,AD)"
SOS2	"努南综合征9型(616559,AD)"
SOST	"颅骨骨干发育异常综合征(122860,AD);硬化性骨化病1型 (269500,AR)"
SOX10	"瓦登伯格症(609136,AD);Waardenburg综合征2E型(611584,AD)"
SOX11	"常染色体显性精神发育迟滞27型(615866,AD)"
SOX2	"小眼畸形综合征3型(206900,AD)"
SOX5	"Lamb-Shaffer综合征(616803,AD)"
SOX9	"短指发育不良症(114290,AD)"
SPAST	"痉挛性截瘫4型(182601,AD)"
SPATA5	"癫痫，听觉丧失和精神发育迟滞综合征(616577,AR)"
SPECC1L	"常染色体显性Opitz GBBB综合征(145410,AD)"
SPEG	"中央核肌病5型(615959,AR)"
SPG11	"肌萎缩侧索硬化症5型(602099,AR);轴突性腓骨肌萎缩症2X型(616668,AR);痉挛性截瘫11型(604360,AR)"
SPG20	"痉挛性截瘫20型(275900,AR)"
SPINK5	"内塞顿综合征(256500,AR)"
SPR	"墨蝶呤还原酶缺乏引起的多巴胺反应性肌张力障碍(612716,AD,AR)"
SPRED1	"Legius 综合征(611431,AD)"
SPTAN1	"早期幼儿癫痫性脑病5型(613477,AD)"
SPTBN2	"脊髓小脑性共济失调5型(600224,AD);常染色体隐性遗传性脊髓小脑性共济失调14型(615386,AR)"
SPTLC1	"遗传性感觉和自主神经性神经病1A型(162400,AD)"
SPTLC2	"遗传性感觉和自主神经性神经病1C型(613640,AD)"
SQSTM1	"伴或不伴肌萎缩侧索硬化的额颞叶痴呆3型(616437,AD);有镶边空泡的远端肌病(617158,AD)"
SRCAP	"Floating-Harbor综合征(136140,AD)"
SRD5A3	"先天性糖基化障碍1Q型(612379,AR);Kahrizi综合征(612713,AR)"
SRPX2	"X 连锁运动性癫痫，智力低下及言语运用障碍(300643,)"
SSR4	"先天性糖基化障碍1Y型(300934,XLR)"
ST3GAL3	"早期幼儿癫痫性脑病15型(615006,AR);常染色体隐性精神发育迟滞12型(611090,AR)"
STAC3	"美国原住民肌病(255995,AR)"
STAMBP	"小头畸形-毛细血管瘤综合征(614261,AR)"
STIL	"小头畸形7型(612703,AR)"
STIM1	"管聚集性肌病1型(160565,AD);Stormorken 综合征(185070,AD)"
OBFC1	"伴钙化与囊变的脑视网膜微血管病2型(617341,AR)"
STRA6	"小眼畸形综合征9型(601186,AR)"
STT3A	"先天性糖基化障碍1W型(615596,AR)"
STT3B	"先天性糖基化障碍1X型(615597,AR)"
STUB1	"常染色体隐性遗传性脊髓小脑性共济失调16型(615768,AR)"
STX11	"噬血细胞性淋巴组织细胞增生症(603552,AR)"
STX1B	"全面性癫痫伴热性惊厥附加症9(616172,AD)"
STXBP1	"早期幼儿癫痫性脑病4型(612164,AD)"
STXBP2	"家族性噬血细胞淋巴组织细胞增生症5型(613101,AR)"
SUCLA2	"线粒体DNA消耗综合征5型(612073,AR)"
SUCLG1	"线粒体DNA消耗综合征9型(245400,AR)"
SUFU	"基底细胞痣综合征(109400,AD);成神经管细胞瘤(155255,AD,AR);脑膜瘤(607174,AD)"
SUMF1	"多种硫酸酯酶缺乏症(272200,AR)"
SUOX	"高胱氨酸尿症(272300,AR)"
SURF1	"腓骨肌萎缩症4K型(616684,AR);Leigh综合征(256000,AR,Mi)"
SYN1	"伴多种学习障碍和行为异常的X连锁性癫痫(300491,XLD,XLR)"
SYNE1	"常染色体显性Emery-Dreifuss肌营养不良4型 (612998,AD);常染色体隐性遗传性脊髓小脑性共济失调8型(610743,AR)"
SYNE2	"常染色体显性Emery-Dreifuss肌营养不良5型 (612999,AD)"
SYNGAP1	"常染色体显性精神发育迟滞5型(612621,AD)"
SYNJ1	"早期幼儿癫痫性脑病53型(617389,AR);遗传性帕金森病20型(615530,AR)"
SYP	"X连锁智力低下96型(300802,XLD)"
SYT14	"常染色体隐性遗传性脊髓小脑性共济失调11型(614229,AR)"
SYT2	"先天性肌无力综合征7型(616040,AD)"
SZT2	"早期幼儿癫痫性脑病18型(615476,AR)"
T	"骶骨发育异常伴椎体畸形(615709,AR)"
TAC3	"低促性腺激素性性腺功能减退症10型伴或不伴嗅觉丧失(614839,AR)"
TACO1	"线粒体复合物IV缺陷症(220110,AR,Mi)"
TAF1	"肌张力障碍3型(314250,XLR)"
TAF13	"常染色体隐性精神发育迟滞60型(617432,AR)"
TAF2	"常染色体隐性精神发育迟滞40型(615599,AR)"
TARDBP	"肌萎缩侧索硬化症10型(612069,AD)"
TARS2	"氧化磷酸化结合障碍性疾病21型(615918,AR)"
TAT	"酪氨酸血症2型(276600,AR)"
TAZ	"巴氏综合征(302060,XLR)"
TBC1D20	"Warburg Micro综合征4型(615663,AR)"
TBC1D24	"耳聋-指甲发育不全-骨发育不全-智力发育迟缓-癫痫综合征(220500,AR);早期幼儿癫痫性脑病16型(615338,AR);家族性婴儿肌阵挛癫痫(605021,AR)"
TBC1D7	"巨颅畸形(248000,AR)"
TBCE	"甲状旁腺功能减退-发育迟缓-畸形综合征(241410,AR);肯-卡二氏综合征1型(244460,AR)"
TBK1	"伴或不伴肌萎缩侧索硬化的额颞叶痴呆4型(616439,AD)"
TBL1XR1	"常染色体显性精神发育迟滞41型(616944,AD)"
TBP	"脊髓小脑性共济失调17型(607136,AD)"
TBX1	"迪乔治综合征(188400,AD);腭-心-面综合征(192430,AD)"
TBX15	"Cousin综合征(260660,AR)"
TBX3	"尺骨-乳腺综合征(181450,AD)"
TCAP	"肥厚型心肌病25型(607487,AD);肢带型肌营养不良2G型(601954,AR)"
TCF12	"狭颅症3型(615314,AD)"
TCF4	"Pitt-Hopkins综合征(610954,AD)"
TCIRG1	"骨硬化症B1型(259700,AR)"
TCN2	"遗传性转钴胺Ⅱ缺乏(275350,AR)"
TCTN2	"Joubert综合征24型(616654,AR);内脏囊肿，脑发育不良综合征8型(613885,AR)"
TCTN3	"Joubert综合征18型(614815,AR);口-面-指综合征4型(258860,AR)"
TDP1	"常染色体隐性遗传性脊髓小脑共济失调伴轴索神经病(607250,AR)"
TDP2	"常染色体隐性遗传性脊髓小脑性共济失调23型(616949,AR)"
TECPR2	"痉挛性截瘫49型(615031,AR)"
TECR	"常染色体隐性精神发育迟滞14型(614020,AR)"
TCTN1	"Joubert综合征13型(614173,AR)"
TERC	"常染色体显性先天性角化不良症1型(127550,AD)"
TERT	"常染色体显性遗传先天性角化不良2型(613989,AD,AR)"
TFAP2A	"鳃-眼-面综合征(113620,AD)"
TFAP2B	"CHAR综合征(169100,AD)"
TFG	"遗传性运动感觉神经病（近端为主型）(604484,AD);痉挛性截瘫57型(615658,AR)"
TGDS	"Catel-Manzke综合征(616145,AR)"
TGFB1	"Camurati-Engelmann病(131300,AD)"
TGFB2	"洛伊迪茨综合征4型(614816,AD)"
TGFB3	"Rienhoff综合征(615582,AD)"
TGFBR1	"洛伊迪茨综合征1型(609192,AD)"
TGFBR2	"洛伊迪茨综合征2型(610168,AD)"
TGIF1	"全前脑4型(142946,AD)"
TGM6	"脊髓小脑性共济失调35型(613908,AD)"
TH	"常染色体隐性遗传性Segawa综合征(605407,AR)"
THAP1	"肌张力障碍6型(602629,AD)"
THOC2	"X连锁智力低下综合征12型(300957,XLR)"
THOC6	"Beaulieu-Boycott-Innes综合征(613680,AR)"
THRA	"先天性非甲状腺肿性甲低6型(614450,AD)"
THRB	"甲状腺激素抵抗综合征(188570,AD)"
TIA1	"远端型肌病 Welander型(604454,AD,AR)"
TICAM1	"单纯疱疹性脑炎4型(614850,AD, AR)"
TIMM8A	"Mohr-Tranebjaerg综合征(304700,XLR)"
TIMMDC1	"线粒体复合物Ⅰ缺陷症(252010,AR,XLD,Mi?)"
TINF2	"常染色体显性遗传先天性角化不良3型(613990,AD);Revesz综合征(268130,AD)"
TK2	"线粒体DNA消耗综合征2型(609560,AR);常染色体隐性进行性眼外肌麻痹伴线粒体DNA缺失3型(617069,AR)"
TLR1	"麻风5型(613223,)"
TLR2	"麻风3型(246300,AD)"
TLR3	"单纯疱疹性脑炎2型(613002,)"
TM4SF20	"特殊语言障碍5型(615432,AD)"
TMCO1	"颅面先天性畸形-骨骼异常-智力迟钝综合征(213980,AR)"
TMEM107	"内脏囊肿，脑发育不良综合征13型(617562,AR);口-面-指综合征16型(617563,AR)"
TMEM126B	"线粒体复合物Ⅰ缺陷症(252010,AR,XLD,Mi?)"
TMEM138	"Joubert综合征16型(614465,AR)"
TMEM165	"先天性糖基化障碍2K型(614727,AR)"
TMEM199	"先天性糖基化障碍2P型(616829,AR)"
TMEM216	"Joubert综合征2型(608091,AR);内脏囊肿，脑发育不良综合征2型(603194,AR)"
TMEM231	"Joubert综合征20型(614970,AR);内脏囊肿，脑发育不良综合征11型(615397,AR)"
TMEM237	"Joubert综合征14型(614424,AR)"
TMEM240	"脊髓小脑性共济失调21型(607454,AD)"
TMEM43	"常染色体显性Emery-Dreifuss肌营养不良7型 (614302,AD)"
TMEM5	"先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常A10型(615041,AR)"
TMEM67	"COACH综合征(216360,AR);Joubert综合征6型(610688,AR);内脏囊肿，脑发育不良综合征3型(607361,AR);肾消耗病11型(613550,AR)"
TMEM70	"线粒体复合物V缺陷症N2型(614052,AR)"
TMTC3	"无脑回畸形综合征8型(617255,AR)"
TNFRSF13B	"普通变异性免疫缺陷病2型(240500,AD,AR)"
TNFSF11	"骨硬化症B2型(259710,AR)"
TNIK	"常染色体隐性精神发育迟滞54型(617028,AR)"
TNNC1	"扩张型心肌病1Z型(611879,AD);肥厚型心肌病13型(613243,AD)"
TNNI2	"远端关节挛缩症2B型(601680,AD)"
TNNI3	"扩张型心肌病1FF型(613286,AD);扩张型心肌病2A型(611880,AR);肥厚型心肌病7型(613690,AD)"
TNNT1	"线状体肌病5型(605355,AR)"
TNNT2	"扩张型心肌病1D型(601494,AD);肥厚型心肌病2型(115195,AD)"
TNNT3	"远端关节挛缩症2B型(601680,AD)"
TNPO3	"肢带型肌营养不良1F型(608423,AD)"
TOE1	"脑桥，小脑发育不良7型(614969,AR)"
TOR1AIP1	"肢带型肌营养不良2Y型(617072,AR)"
TP53	"脉络丛乳头状瘤(260500,AD);神经胶质瘤易感性1型(137800,AD,SMu)"
TP63	"先天性缺指（趾）-外胚层发育不良-唇/腭裂综合征3(604292,AD);AEC综合征(106260,AD)"
TPI1	"磷酸丙糖异构酶缺乏症(615512,AR)"
TPK1	"硫胺素代谢功能紊乱综合征5型(614458,AR)"
TPM1	"扩张型心肌病1Y型(611878,AD);肥厚型心肌病3型(115196,AD)"
TPM2	"远端关节挛缩症1A型(108120,AD);远端关节挛缩症2B型(601680,AD);线状体肌病4型(609285,AD)"
TPM3	"纤维类型不相称型先天性肌病(255310,AD,AR);线状体肌病1型(609284,AD,AR)"
TPP1	"神经元蜡样质脂褐素沉积病2型(204500,AR);常染色体隐性遗传性脊髓小脑性共济失调7型(609270,AR)"
TRAF3	"单纯疱疹性脑炎3型(614849,AD)"
TRAIP	"塞克尔综合征9型(616777,AR)"
TRAPPC11	"肢带型肌营养不良2S型(615356,AR)"
TRAPPC9	"常染色体隐性精神发育迟滞13型(613192,AR)"
TREM2	"多囊性脂膜样骨发育不良伴硬化性脑白质病(221770,AR)"
TREX1	"Aicardi-Goutieres 综合征1型(225750,AD,AR);视网膜血管病变伴脑白质营养不良(192315,AD)"
TRIM2	"腓骨肌萎缩症2R型(615490,AR)"
TRIM32	"肢带型肌营养不良2H型(254110,AR)"
TRIM36	"无脑儿(206500,AR)"
TRIM37	"Mulibrey侏儒症(253250,AR)"
TRIO	"常染色体显性精神发育迟滞44型(617061,AD)"
TRMT10A	"小头畸形，身材矮小伴葡萄糖代谢异常1型(616033,AR)"
TRMT10C	"氧化磷酸化结合障碍性疾病30型(616974,AR)"
TRMT5	"氧化磷酸化结合障碍性疾病26型(616539,AR)"
TRPA1	"家族性发作性疼痛综合征1型(615040,AD)"
TRPC3	"脊髓小脑性共济失调41型(616410,AD)"
TRPM6	"低镁血症1型(602014,AR)"
TRPM7	"肌萎缩侧索硬化症/痴呆综合征1型(105500,AD)"
TRPS1	"毛发-鼻-指（趾）综合征1型(190350,AD);毛发-鼻-指（趾）综合征3型(190351,AD)"
TRPV4	"短躯干症3型(113500,AD);遗传性运动感觉神经病(606071,AD);变形性骨发育不良(156530,AD);类扭伤性侏儒症(168400,AD);肩腓型脊髓性肌萎缩(181405,AD);先天性非进展性远端脊肌萎缩症(600175,AD)"
TSC1	"局灶性皮质发育不良(607341,SMu);结节性硬化(191100,AD)"
TSC2	"局灶性皮质发育不良(607341,SMu);结节性硬化症2型(613254,AD)"
TSEN15	"脑桥，小脑发育不良2F型(617026,AR)"
TSEN2	"脑桥，小脑发育不良2B型(612389,AR)"
TSEN34	"脑桥，小脑发育不良2C型(612390,AR)"
TSEN54	"脑桥，小脑发育不良2A型(277470,AR);脑桥，小脑发育不良4型(225753,AR);脑桥，小脑发育不良5型(610204,AR)"
TSFM	"氧化磷酸化结合障碍性疾病3型(610505,AR)"
TSHB	"先天性非甲状腺肿性甲低4型(275100,AR)"
TSHR	"非自身免疫性甲状腺功能亢进(609152,AD,IC);甲状腺内分泌障碍1型(275200,AR)"
TSPAN7	"X连锁智力发育迟滞58型(300210,XLR)"
TTBK2	"脊髓小脑性共济失调11型(604432,AD)"
TTC19	"线粒体复合物Ⅲ缺陷症N2型(615157,AR)"
TTC37	"发-肝-肠综合征1型(222470,AR)"
TTI2	"常染色体隐性精神发育迟滞39型(615541,AR)"
TTN	"扩张型心肌病1G型(604145,AD);家族性肥厚型心肌病9型(613765,AD);肢带型肌营养不良2J型(608807,AR);早发型肌病伴致命性心肌病(611705,AR);遗传性肌病伴早期呼吸衰竭（Edstrom肌病）(603689,AD);迟发性胫骨肌营养不良症(600334,AD)"
TTPA	"家族性单纯性维生素E缺乏症(277460,AR)"
TTR	"遗传性淀粉样变性(105210,AD);腕管综合征(115430,AD)"
TUBA1A	"无脑回畸形综合征3型(611603,AD)"
TUBA4A	"肌萎缩侧索硬化症22型(616208,AD)"
TUBA8	"复杂性皮质发育不良伴其他脑部畸形8型(613180,AR)"
TUBB	"复杂性皮质发育不良伴其他脑部畸形6型(615771,AD)"
TUBB2A	"复杂性皮质发育不良伴其他脑部畸形5型(615763,AD)"
TUBB2B	"复杂性皮质发育不良伴其他脑部畸形7型(610031,AD)"
TUBB3	"复杂性皮质发育不良伴其他脑部畸形1型(614039,AD);先天性眼外肌纤维化综合征3A型(600638,AD)"
TUBB4A	"肌张力障碍4型(128101,AD);髓鞘形成不足性脑白质营养不良6型(612438,AD)"
TUBG1	"复杂性皮质发育不良伴其他脑部畸形4型(615412,AD)"
TUBGCP4	"小头畸形伴视网膜，脉络膜病变3型(616335,AR)"
TUBGCP6	"小头畸形伴视网膜，脉络膜病变1型(251270,AR)"
TUFM	"氧化磷酸化结合障碍性疾病4型(610678,AR)"
TUSC3	"常染色体隐性精神发育迟滞7/22型(611093,AR)"
TWIST1	"狭颅症1型(123100,AD)"
C10ORF2	"线粒体DNA消耗综合征7型(271245,AR);佩罗特综合征5型(616138,AR);常染色体显性进行性眼外肌麻痹3型(609286,AD)"
TXN2	"氧化磷酸化结合障碍性疾病29型(616811,AR)"
TYMP	"线粒体DNA消耗综合征1型(603041,AR)"
TYROBP	"多囊性脂膜样骨发育不良伴硬化性脑白质病(221770,AR)"
UBA1	"脊髓肌萎缩症X2型(301830,XLR)"
UBA5	"早期幼儿癫痫性脑病44型(617132,AR);常染色体隐性遗传性脊髓小脑性共济失调24型(617133,AR)"
UBE2A	"精神发育迟缓X连锁症状性纳西门托型(300860,XLR)"
UBE3A	"Angelman综合征(105830,IC)"
UBE3B	"眼裂狭小-上睑下垂-智力障碍综合征(244450,AR)"
UBQLN2	"肌萎缩侧索硬化症15型(300857,XLD)"
UBR1	"Johanson-Blizzard综合征(243800,AR)"
UCHL1	"遗传性帕金森病5型(613643,AD);痉挛性截瘫79型(615491,AR)"
UGT1A1	"克果-纳杰症I型(218800,AR);暂时性家族性新生儿高胆红素血症(237900,AR)"
UMPS	"乳清酸尿症(258900,AR)"
UNC13D	"家族性噬血细胞淋巴组织细胞增生症3型(608898,AR)"
UNC80	"婴儿期张力减退病,伴精神运动性发育迟滞和典型面容2型(616801,AR)"
UNC93B1	"单纯疱疹脑炎（易感）(610551,AR)"
UPB1	"β-脲基丙酸酶缺乏症(613161,AR)"
UPF3B	"精神发育迟滞X连锁综合征14型(300676,XLR)"
UQCRB	"线粒体复合物Ⅲ缺陷症N3型(615158,AR)"
